county_name,county_key,constituency_name,constituency_key,ward_name,ward_key,pot_school,cluster_key,village_name,village_code,treat,person_id,person_key,name,first_name,middle_name,last_name,nickname,hhh_name,two_digits,age,clan,hhh_phone,hhh_two_digits
Busia,101,Butula,101,Elugulu,101,ESIBEMBE PRI SCH,64,Mabanga A,101,2,First name Middle name Last Name / Nickname / Household Head name,1,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,01,18,Clan,,01
Busia,101,Butula,101,Elugulu,101,KANJALA PRI SCH,20,Kanjala A,102,2,First name Middle name Last Name / Nickname / Household Head name,2,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,02,18,Clan,,02
Busia,101,Butula,101,Kingandole,102,KINGANDOLE PRI SCH,36,Kingandole A,103,2,First name Middle name Last Name / Nickname / Household Head name,3,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,03,18,Clan,,03
Busia,101,Butula,101,Marachi Central,103,BUSIADA PRI SCH,9,Bukhalalire,104,2,First name Middle name Last Name / Nickname / Household Head name,4,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,04,18,Clan,,04
Busia,101,Butula,101,Marachi Central,103,NELAA PRI SCH,119,Nella East,105,2,First name Middle name Last Name / Nickname / Household Head name,5,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,05,18,Clan,,05
Busia,101,Butula,101,Marachi East,104,KALALANI PRI SCH,252,Mulambo,106,2,First name Middle name Last Name / Nickname / Household Head name,6,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,06,18,Clan,,06
Busia,101,Butula,101,Marachi North,105,ISONGO PRI SCH,47,Buduma B,108,2,First name Middle name Last Name / Nickname / Household Head name,7,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,07,18,Clan,,07
Busia,101,Butula,101,Marachi North,105,ISONGO PRI SCH,47,Buduma D,109,2,First name Middle name Last Name / Nickname / Household Head name,8,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,08,18,Clan,,08
Busia,101,Butula,101,Marachi North,105,SIRIBO PRI SCH,54,Siribo A,110,2,First name Middle name Last Name / Nickname / Household Head name,9,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,09,18,Clan,,09
Busia,101,Butula,101,Marachi West,106,BUJUMBA PRI SCH,235,Bujumba,111,2,First name Middle name Last Name / Nickname / Household Head name,10,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,10,18,Clan,,10
Busia,101,Butula,101,Marachi West,106,BUJUMBA PRI SCH,235,Bumina,112,2,First name Middle name Last Name / Nickname / Household Head name,11,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,11,18,Clan,,11
Busia,101,Butula,101,Marachi West,106,SIFA SCHOOL,503,Ugaji B,113,2,First name Middle name Last Name / Nickname / Household Head name,12,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,12,18,Clan,,12
Busia,101,Nambale,102,Bukhayo East,107,ELWANIKHA PRI,108,Elwanikha A,114,2,First name Middle name Last Name / Nickname / Household Head name,13,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,13,18,Clan,,13
Busia,101,Nambale,102,Bukhayo East,107,ELWANIKHA PRI,108,Karungu,115,2,First name Middle name Last Name / Nickname / Household Head name,14,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,14,18,Clan,,14
Busia,101,Nambale,102,Bukhayo East,107,EMAKINA PRI,306,Emakina,116,2,First name Middle name Last Name / Nickname / Household Head name,15,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,15,18,Clan,,15
Busia,101,Nambale,102,Bukhayo East,107,MADIBO PRI,169,Madibo Central,117,2,First name Middle name Last Name / Nickname / Household Head name,16,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,16,18,Clan,,16
Busia,101,Nambale,102,Bukhayo East,107,MADIBO PRI,169,Nangeni A,118,2,First name Middle name Last Name / Nickname / Household Head name,17,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,17,18,Clan,,17
Busia,101,Nambale,102,Bukhayo North/Waltsi,108,DULIENGE PRI,249,Dulienge B,119,2,First name Middle name Last Name / Nickname / Household Head name,18,First name Middle name Last Name,First name,Middle name,Last Name,Nickname,Household Head name,18,18,Clan,,18
